src.fid;src.device_id;src.ab_eoi_code;Status;src.network;Region;Gewest;Municipality;Gemeente;src.Name;src.timestamp;src.Value;Google Maps;Google Street View;Geo Point
pm10_hmean_station.fid--17262e03_197a4795c21_-52c1;10767;BELAL03;Active;Flanders;;;;;40AL03 - Beveren;2025-06-25T02:00:00+02:00;7;https://www.google.com/maps/search/?api=1&query=216020%2C138320;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=216020%2C138320;51.25396488066987, 4.201460395126576
pm10_hmean_station.fid--17262e03_197a4795c21_-52c0;10768;BELAL04;Active;Flanders;;;;;40AL04 - Beveren;2025-06-25T02:00:00+02:00;11;https://www.google.com/maps/search/?api=1&query=220093%2C144738;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=220093%2C144738;51.2906675267467, 4.2933294769403885
pm10_hmean_station.fid--17262e03_197a4795c21_-52b8;11043;BELSZ05;Active;Flanders;;;;;40SZ05 - Steenokkerzeel;2025-06-25T02:00:00+02:00;8;https://www.google.com/maps/search/?api=1&query=178491%2C160297;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=178491%2C160297;50.91664840535989, 4.515181795705702
pm10_hmean_station.fid--17262e03_197a4795c21_-52b3;6563;BETN043;Active;Brussels;;;;;41N043 - Haren;2025-06-25T02:00:00+02:00;6;https://www.google.com/maps/search/?api=1&query=174800%2C151000;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=174800%2C151000;50.883559811382206, 4.38296325180234
pm10_hmean_station.fid--17262e03_197a4795c21_-52ab;6693;BETM802;Active;Flanders;;;;;42M802 - Antwerpen;2025-06-25T02:00:00+02:00;6;https://www.google.com/maps/search/?api=1&query=216790%2C153884;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=216790%2C153884;51.260989707467004, 4.424399006935333
pm10_hmean_station.fid--17262e03_197a4795c21_-52a9;6704;BETN016;Active;Flanders;;;;;42N016 - Dessel;2025-06-25T02:00:00+02:00;6;https://www.google.com/maps/search/?api=1&query=214045%2C205542;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=214045%2C205542;51.23365220616227, 5.1639788463317595
pm10_hmean_station.fid--17262e03_197a4795c21_-529b;100021;BETR842;Active;Flanders;;;;;42R842 - Mechelen (Hendrik Speecqvest);2025-06-25T02:00:00+02:00;5;https://www.google.com/maps/search/?api=1&query=190026%2C158034;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=190026%2C158034;51.020374444318165, 4.483255334197501
pm10_hmean_station.fid--17262e03_197a4795c21_-5295;6900;BETN063;"Empty or value=""-9999""";Wallonia;;;;;43N063 - Corroy-Le-Grand;2025-06-25T02:00:00+02:00;;https://www.google.com/maps/search/?api=1&query=149467%2C171181;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=149467%2C171181;50.65543910340045, 4.668287682824639
pm10_hmean_station.fid--17262e03_197a4795c21_-528b;6970;BETN132;Active;Wallonia;;;;;43N132 - Habay-La-Neuve;2025-06-25T02:00:00+02:00;6;https://www.google.com/maps/search/?api=1&query=46070%2C240980;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=46070%2C240980;49.71928118788111, 5.630397740609144
pm10_hmean_station.fid--17262e03_197a4795c21_-528a;100029;BETR202;"Empty or value=""-9999""";Wallonia;;;;;43R202 - Liège;2025-06-25T02:00:00+02:00;;https://www.google.com/maps/search/?api=1&query=148172%2C235097;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=148172%2C235097;50.63797831100492, 5.571781423606139
pm10_hmean_station.fid--17262e03_197a4795c21_-5287;7008;BETR223;Active;Wallonia;;;;;43R223 - Jemeppe;2025-06-25T02:00:00+02:00;6;https://www.google.com/maps/search/?api=1&query=146185%2C231210;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=146185%2C231210;50.6206708788392, 5.516404755142998
pm10_hmean_station.fid--17262e03_197a4795c21_-5281;7069;BETN052;Active;Flanders;;;;;44N052 - Zwevegem;2025-06-25T02:00:00+02:00;6;https://www.google.com/maps/search/?api=1&query=167678%2C76269;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=167678%2C76269;50.814873869919765, 3.3224943190372773
pm10_hmean_station.fid--17262e03_197a4795c21_-5271;6153;BELAL02;Active;Flanders;;;;;40AL02 - Beveren;2025-06-25T01:00:00+02:00;7;https://www.google.com/maps/search/?api=1&query=221640%2C140660;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=221640%2C140660;51.30452079034417, 4.234832753144062
pm10_hmean_station.fid--17262e03_197a4795c21_-5270;10767;BELAL03;Active;Flanders;;;;;40AL03 - Beveren;2025-06-25T01:00:00+02:00;6;https://www.google.com/maps/search/?api=1&query=216020%2C138320;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=216020%2C138320;51.25396488066987, 4.201460395126576
